Au    - projmass=197.    - radius=6.38   (fm) - delta=0.535   (W.-Sax. width - fm) - roze=0.1693  (normal nuclear density - fm^-3) - zelectrons=79  (Z electrons)
Pb    - projmass=208.    - radius=6.62   (fm) - delta=0.546   (W.-Sax. width - fm) - roze=0.1604  (normal nuclear density - fm^-3) - zelectrons=82  (Z electrons)
Xx000 - projmass=280.    - radius=8.76   (fm) - delta=0.765   (W.-Sax. width - fm) - roze=0.1543  (normal nuclear density - fm^-3) - zelectrons=120 (Z electrons)
Au000 - projmass=197.    - radius=6.37   (fm) - delta=0.54    (W.-Sax. width - fm) - roze=0.17    (normal nuclear density - fm^-3) - zelectrons=79  (Z electrons)
